Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	Number	Freq	Is Cancer Gene (source: OncoKB)
MTND1P15		17p11.2	AMP	6	616	1.0%	No
TRIM16		17p12	HOMDEL	9	616	1.5%	No
RN7SL561P		20p13	HOMDEL	2	616	0.3%	No
CPNE8		12q12	AMP	3	616	0.5%	No
PALM2AKAP2		9q31.3	HOMDEL	1	616	0.2%	No
INTS11		1p36.33	AMP	1	616	0.2%	No
ADA	8.111e-16	20q13.12	AMP	56	616	9.1%	No
PPAT		4q12	HOMDEL	2	616	0.3%	No
RN7SL584P		15q11.1	AMP	2	616	0.3%	No
C9ORF40		9q21.13	AMP	1	616	0.2%	No
CRYBB3		22q11.23	HOMDEL	1	616	0.2%	No
ABCC6		16p13.11	AMP	1	616	0.2%	No
SCN10A		3p22.2	HOMDEL	1	616	0.2%	No
UTP11		1p34.3	AMP	2	616	0.3%	No
KRT40		17q21.2	HOMDEL	1	616	0.2%	No
DHX33		17p13.2	HOMDEL	6	616	1.0%	No
CNGB3		8q21.3	AMP	24	616	3.9%	No
FAM76B		11q21	HOMDEL	1	616	0.2%	No
NKPD1		19q13.32	AMP	1	616	0.2%	No
ADAM8		10q26.3	AMP	1	616	0.2%	No
USP6		17p13.2	HOMDEL	6	616	1.0%	Yes
CDK6		7q21.2	HOMDEL	2	616	0.3%	Yes
HMGN4		6p22.2	AMP	2	616	0.3%	No
ACTRT3		3q26.2	HOMDEL	1	616	0.2%	No
ARAF		Xp11.3	AMP	1	616	0.2%	Yes
TRIM38		6p22.2	AMP	2	616	0.3%	No
ADAR	1.892e-2	1q21.3	AMP	3	616	0.5%	No
WDR45B		17q25.3	AMP	2	616	0.3%	No
CNKSR1		1p36.11	HOMDEL	2	616	0.3%	No
PPP1R37		19q13.32	AMP	1	616	0.2%	No
RN7SKP62	1.117e-18	5q21.1	HOMDEL	11	616	1.8%	No
APOBR		16p12.1	AMP	3	616	0.5%	No
ZNF488		10q11.22	HOMDEL	2	616	0.3%	No
NUPR2		7p11.2	AMP	2	616	0.3%	No
RN7SKP3		13q14.12	HOMDEL	2	616	0.3%	No
TUSC1		9p21.2	HOMDEL	1	616	0.2%	No
OR7E24		19p13.2	HOMDEL	3	616	0.5%	No
HAPLN3	9.521e-2	15q26.1	AMP	2	616	0.3%	No
TRPM3		9q21.12-q21.13	AMP	2	616	0.3%	No
CXORF49B		Xq13.1	HOMDEL	2	616	0.3%	No
RN7SL108P	1.130e-1	14q24.1	HOMDEL	1	616	0.2%	No
SSX6P		Xp11.23	AMP	1	616	0.2%	No
USP46		4q12	HOMDEL	1	616	0.2%	No
LINC00313		21q22.3	HOMDEL	1	616	0.2%	No
RNA5SP189	1.117e-18	5q21.3	HOMDEL	14	616	2.3%	No
MTMR7	6.103e-20	8p22	HOMDEL	41	616	6.7%	No
LINC00111		21q22.3	HOMDEL	1	616	0.2%	No
CCM2L		20q11.21	AMP	57	616	9.3%	No
CD99P1		Xp22.33 and Yp11.31	AMP	5	616	0.8%	No
NBAS		2p24.3	HOMDEL	2	616	0.3%	No
KCTD15	9.774e-2	19q13.11	AMP	4	616	0.6%	No
RAB4A		1q42.13	HOMDEL	1	616	0.2%	No
PFDN6		6p21.32	AMP	2	616	0.3%	No
HEXB		5q13.3	HOMDEL	2	616	0.3%	No
RNA5SP76	1.892e-2	1q41	AMP	4	616	0.6%	No
IFITM1		11p15.5	HOMDEL	4	616	0.6%	No
SH3GL2	1.016e-1	9p22.2	HOMDEL	2	616	0.3%	No
SNORA73B		1p35.3	HOMDEL	1	616	0.2%	No
SSX7		Xp11.22	AMP	3	616	0.5%	No
H4C11		6p22.1	HOMDEL	2	616	0.3%	No
ADARB2		10p15.3	AMP	2	616	0.3%	No
ABCA17P		16p13.3	HOMDEL	2	616	0.3%	No
CHD5		1p36.31	HOMDEL	6	616	1.0%	No
SBDS		7q11.21	AMP	2	616	0.3%	Yes
SLC25A38		3p22.1	AMP	1	616	0.2%	No
LINC00639	6.190e-2	14q21.1	HOMDEL	1	616	0.2%	No
SECISBP2		9q22.2	AMP	4	616	0.6%	No
HCP5		6p21.33	HOMDEL	2	616	0.3%	No
LRRC47		1p36.32	AMP	1	616	0.2%	No
ZBTB18	1.892e-2	1q44	AMP	4	616	0.6%	No
RNA5SP300		10p13	AMP	1	616	0.2%	No
PPIAL4G		1q21.2	HOMDEL	1	616	0.2%	No
CCDC153		11q23.3	AMP	1	616	0.2%	No
CELA3A		1p36.12	HOMDEL	2	616	0.3%	No
OR4C16		11q11	AMP	2	616	0.3%	No
SAMD10		20q13.33	AMP	47	616	7.6%	No
NARF		17q25.3	HOMDEL	1	616	0.2%	No
OR7D2		19p13.2	HOMDEL	3	616	0.5%	No
SCGN		6p22.2	HOMDEL	4	616	0.6%	No
DNASE2		19p13.13	HOMDEL	3	616	0.5%	No
TMTC2	1.486e-1	12q21.31	HOMDEL	2	616	0.3%	No
DLGAP2		8p23.3	HOMDEL	46	616	7.5%	No
RNA5SP78	1.892e-2	1q42.13	AMP	4	616	0.6%	No
RABL6		9q34.3	HOMDEL	1	616	0.2%	No
POMP		13q12.3	AMP	34	616	5.5%	No
LRTM2	1.051e-9	12p13.33	AMP	11	616	1.8%	No
INSL3		19p13.11	AMP	1	616	0.2%	No
RN7SL491P	9.774e-2	19q13.12	AMP	1	616	0.2%	No
BCAS1		20q13.2	AMP	50	616	8.1%	No
ADAM30		1p12	HOMDEL	2	616	0.3%	No
SLC9A6		Xq26.3	AMP	3	616	0.5%	No
OR4C11		11q11	AMP	2	616	0.3%	No
RN7SKP35		4q31.3	HOMDEL	2	616	0.3%	No
ABHD16B		20q13.33	AMP	47	616	7.6%	No
ADCY1		7p12.3	AMP	4	616	0.6%	No
HDAC9	2.467e-1	7p21.1	AMP	3	616	0.5%	No
FAM110D		1p36.11	HOMDEL	2	616	0.3%	No
LOXHD1		18q21.1	AMP	2	616	0.3%	No
RN7SL787P		9q13	HOMDEL	1	616	0.2%	No
C8ORF48		8p22	HOMDEL	40	616	6.5%	No
RNA5SP303		10p12.31	AMP	1	616	0.2%	No
RNA5SP77	1.892e-2	1q42.13	AMP	4	616	0.6%	No
API5		11p12	AMP	1	616	0.2%	No
ATP5PD		17q25.1	AMP	2	616	0.3%	No
RNA5SP81	1.892e-2	1q43	AMP	5	616	0.8%	No
PROS1		3q11.1	HOMDEL	2	616	0.3%	No
ADCY2		5p15.31	AMP	5	616	0.8%	No
SLX4IP		20p12.2	HOMDEL	2	616	0.3%	No
PCNA		20p12.3	HOMDEL	2	616	0.3%	No
ARSG		17q24.2	HOMDEL	1	616	0.2%	No
AKAP11		13q14.11	HOMDEL	2	616	0.3%	No
MRPS17		7p11.2	AMP	3	616	0.5%	No
GSTCD		4q24	HOMDEL	2	616	0.3%	No
FLOT1		6p21.33	AMP	2	616	0.3%	No
RNA5SP80	1.892e-2	1q42.2	AMP	4	616	0.6%	No
NDST3		4q26	HOMDEL	1	616	0.2%	No
RN7SL754P	2.135e-1	10p15.3	HOMDEL	4	616	0.6%	No
TOPORS		9p21.1	AMP	1	616	0.2%	No
RNA5SP79	1.892e-2	1q42.2	AMP	4	616	0.6%	No
TMA7		3p21.31	AMP	1	616	0.2%	No
BARX2		11q24.3	AMP	1	616	0.2%	No
PRG4	1.892e-2	1q31.1	AMP	6	616	1.0%	No
LACTB2		8q13.3	AMP	21	616	3.4%	No
PLOD1		1p36.22	HOMDEL	3	616	0.5%	No
CDKL2		4q21.1	HOMDEL	2	616	0.3%	No
RNF113B		13q32.2	HOMDEL	1	616	0.2%	No
RN7SL45P		17q11.2	AMP	3	616	0.5%	No
SETD1A		16p11.2	AMP	7	616	1.1%	Yes
ABCA9		17q24.2	HOMDEL	1	616	0.2%	No
TMEM132A		11q12.2	AMP	1	616	0.2%	No
RN7SL553P		3p26.1	AMP	1	616	0.2%	No
DET1	9.521e-2	15q26.1	AMP	2	616	0.3%	No
SLC39A14	6.103e-20	8p21.3	HOMDEL	39	616	6.3%	No
CTDSPL		3p22.2	AMP	2	616	0.3%	No
ZNF461		19q13.13	AMP	2	616	0.3%	No
ZMIZ2		7p13	AMP	4	616	0.6%	No
LINC00261		20p11.21	HOMDEL	1	616	0.2%	No
RNA5SP82	1.892e-2	1q44	AMP	4	616	0.6%	No
HABP4		9q22.32	HOMDEL	1	616	0.2%	No
GSC	1.130e-1	14q32.13	HOMDEL	2	616	0.3%	No
CCP110		16p12.3	AMP	2	616	0.3%	No
RN7SL567P		3p22.1	AMP	1	616	0.2%	No
LINC00928		15q26.1	HOMDEL	1	616	0.2%	No
NEUROG1	2.199e-5	5q31.1	HOMDEL	1	616	0.2%	No
PCYT1B		Xp22.11	HOMDEL	4	616	0.6%	No
SGPL1		10q22.1	HOMDEL	1	616	0.2%	No
RN7SL681P		4q22.1	HOMDEL	1	616	0.2%	No
ADTRP		6p24.1	AMP	1	616	0.2%	No
ANGPT4		20p13	AMP	4	616	0.6%	No
DMXL1	2.199e-5	5q23.1	HOMDEL	10	616	1.6%	No
C19ORF12	9.774e-2	19q12	AMP	4	616	0.6%	No
SSX3		Xp11.23	AMP	1	616	0.2%	No
RNA5SP25		13q12.11	HOMDEL	1	616	0.2%	No
ZNF251		8q24.3	AMP	28	616	4.5%	No
SMC6		2p24.2	HOMDEL	1	616	0.2%	No
TRIP10		19p13.3	HOMDEL	3	616	0.5%	No
UAP1L1		9q34.3	HOMDEL	2	616	0.3%	No
TTC12		11q23.2	AMP	1	616	0.2%	No
ZMYM4		1p34.3	HOMDEL	2	616	0.3%	No
RN7SL525P		19q13.43	AMP	1	616	0.2%	No
UCHL5	1.892e-2	1q31.2	AMP	5	616	0.8%	No
ZNF585B		19q13.12	AMP	2	616	0.3%	No
NBR2		17q21.31	HOMDEL	1	616	0.2%	No
BDP1		5q13.2	HOMDEL	2	616	0.3%	No
RPS6KA6		Xq21.1	HOMDEL	2	616	0.3%	No
RFX6		6q22.1	HOMDEL	3	616	0.5%	No
ANKRD36BP1	1.892e-2	1q24.2	AMP	3	616	0.5%	No
LINC00661		19p13.12	AMP	1	616	0.2%	No
PPP1R3C		10q23.32	HOMDEL	3	616	0.5%	No
HDX		Xq21.1	HOMDEL	3	616	0.5%	No
SECTM1		17q25.3	AMP	2	616	0.3%	No
RPL8		8q24.3	AMP	28	616	4.5%	No
PRDM10-DT		11q24.3	AMP	2	616	0.3%	No
USPL1		13q12.3	AMP	26	616	4.2%	No
ZNF532		18q21.32	HOMDEL	15	616	2.4%	No
LAMB4		7q31.1	HOMDEL	1	616	0.2%	No
DISC1FP1		11q14.3	HOMDEL	3	616	0.5%	No
NHLRC1		6p22.3	HOMDEL	2	616	0.3%	No
DLX6		7q21.3	HOMDEL	1	616	0.2%	No
ZNF445		3p21.31	AMP	1	616	0.2%	No
TRAPPC2		Xp22.2	AMP	1	616	0.2%	No
MARVELD2		5q13.2	HOMDEL	4	616	0.6%	No
E2F2		1p36.12	HOMDEL	3	616	0.5%	No
ASRGL1		11q12.3	HOMDEL	2	616	0.3%	No
HCG23		6p21.32	AMP	2	616	0.3%	No
LINC00404		13q34	HOMDEL	1	616	0.2%	No
C1ORF94		1p35.1	HOMDEL	1	616	0.2%	No
EIF1		17q21.2	AMP	5	616	0.8%	No
TBC1D32		6q22.31	HOMDEL	2	616	0.3%	No
MINPP1		10q23.2	HOMDEL	8	616	1.3%	No
CAVIN3		11p15.4	HOMDEL	1	616	0.2%	No
NME4		16p13.3	AMP	1	616	0.2%	No
UFSP2	9.214e-21	4q35.1	HOMDEL	15	616	2.4%	No
SPDYE3		7q22.1	AMP	3	616	0.5%	No
TRIM13		13q14.2	AMP	18	616	2.9%	No
OR2B3		6p22.1	HOMDEL	1	616	0.2%	No
PLD5	1.892e-2	1q43	AMP	5	616	0.8%	No
RN7SL849P		9p23	AMP	6	616	1.0%	No
RPL10		Xq28	AMP	4	616	0.6%	Yes
TSEN34		19q13.42	HOMDEL	1	616	0.2%	No
CCR8		3p22.1	AMP	1	616	0.2%	No
MLX		17q21.2	HOMDEL	1	616	0.2%	No
ZNF630		Xp11.23	HOMDEL	3	616	0.5%	No
OR2T33		1q44	HOMDEL	1	616	0.2%	No
HCG15		6p21	AMP	1	616	0.2%	No
MAPK1IP1L		14q22.3	AMP	1	616	0.2%	No
YBX3		12p13.2	AMP	2	616	0.3%	No
LGALS7B		19q13.2	AMP	4	616	0.6%	No
PDE2A		11q13.4	HOMDEL	1	616	0.2%	No
RN7SL846P		10q26.11	AMP	1	616	0.2%	No
ACKR2		3p22.1	AMP	1	616	0.2%	No
RN7SKP96		4q21.3	HOMDEL	1	616	0.2%	No
INPP5B		1p34.3	AMP	2	616	0.3%	No
NME2		17q21.33	AMP	4	616	0.6%	No
TMEM132E-DT		17q12	HOMDEL	1	616	0.2%	No
CASP8AP2		6q15	AMP	1	616	0.2%	No
IQSEC3		12p13.33	AMP	10	616	1.6%	No
SNORA80B		2p25.1	HOMDEL	1	616	0.2%	No
CST7		20p11.21	AMP	20	616	3.2%	No
TUBA3E		2q21.1	HOMDEL	1	616	0.2%	No
MROH8		20q11.23	HOMDEL	1	616	0.2%	No
SCEL		13q22.3	AMP	13	616	2.1%	No
ESR2	1.130e-1	14q23.2-q23.3	HOMDEL	2	616	0.3%	No
RN7SL420P	4.912e-6	1p13.1	HOMDEL	4	616	0.6%	No
EDN1		6p24.1	HOMDEL	3	616	0.5%	No
CCR6		6q27	AMP	2	616	0.3%	No
NME1		17q21.33	AMP	4	616	0.6%	No
LAD1	1.892e-2	1q32.1	AMP	4	616	0.6%	No
QSOX2		9q34.3	HOMDEL	2	616	0.3%	No
FCN2		9q34.3	HOMDEL	1	616	0.2%	No
CEP104		1p36.32	AMP	1	616	0.2%	No
MTR		1q43	HOMDEL	1	616	0.2%	No
INPP5A		10q26.3	AMP	1	616	0.2%	No
LINC00901		3q13.31	HOMDEL	6	616	1.0%	No
PEX11B	1.892e-2	1q21.1	AMP	5	616	0.8%	No
CCR7		17q21.2	AMP	12	616	1.9%	No
L1CAM		Xq28	AMP	4	616	0.6%	No
TGFBI	2.199e-5	5q31.1	HOMDEL	1	616	0.2%	No
HCG24		6p21	AMP	3	616	0.5%	No
TENT5C	4.912e-6	1p12	HOMDEL	2	616	0.3%	Yes
DPP10		2q14.1	HOMDEL	1	616	0.2%	No
UBE2V1		20q13.13	AMP	48	616	7.8%	No
BAZ2B		2q24.2	HOMDEL	3	616	0.5%	No
CPZ		4p16.1	AMP	1	616	0.2%	No
ZKSCAN5		7q22.1	AMP	3	616	0.5%	No
DYRK4	1.051e-9	12p13.32	AMP	13	616	2.1%	No
ARHGEF16		1p36.32	HOMDEL	5	616	0.8%	No
PMS1		2q32.2	HOMDEL	1	616	0.2%	Yes
AKAP4		Xp11.22	HOMDEL	3	616	0.5%	No
RPL15		3p24.2	AMP	1	616	0.2%	No
CTNNB1		3p22.1	AMP	1	616	0.2%	Yes
RN7SL862P		18p11.22	AMP	4	616	0.6%	No
DCC		18q21.2	HOMDEL	21	616	3.4%	No
GJA1		6q22.31	AMP	2	616	0.3%	No
FAM66C		12p13.31	AMP	2	616	0.3%	No
SERF1B		5q13.2	HOMDEL	4	616	0.6%	No
HCG25		6p21.32	AMP	2	616	0.3%	No
UBE2V2		8q11.21	AMP	16	616	2.6%	No
TUSC2		3p21.31	HOMDEL	3	616	0.5%	No
KCNU1		8p11.23	AMP	7	616	1.1%	No
CITED4		1p34.2	AMP	3	616	0.5%	No
RN7SL92P		3p12.3	HOMDEL	3	616	0.5%	No
INS	4.253e-13	11p15.5	AMP	12	616	1.9%	No
CCR4		3p22.3	AMP	1	616	0.2%	No
CBX4		17q25.3	AMP	3	616	0.5%	No
LINC00518		6p24.3	HOMDEL	3	616	0.5%	No
SPDYE2		7q22.1	AMP	4	616	0.6%	No
RPL17		18q21.1	AMP	1	616	0.2%	No
EDA		Xq13.1	HOMDEL	2	616	0.3%	No
RN7SL861P	1.892e-2	1q23.3	AMP	4	616	0.6%	No
DOCK4		7q31.1	AMP	2	616	0.3%	No
ZNF705A		12p13.31	AMP	2	616	0.3%	No
SNORD32B		6p22.1	HOMDEL	1	616	0.2%	No
KTN1		14q22.1	AMP	1	616	0.2%	Yes
CSAD		12q13.13	AMP	2	616	0.3%	No
LINC02899		5p14.2	AMP	3	616	0.5%	No
CCR5		3p21.31	AMP	1	616	0.2%	No
CHST1		11p11.2	AMP	1	616	0.2%	No
AIRN		6q25.3	HOMDEL	1	616	0.2%	No
NXT2		Xq23	AMP	1	616	0.2%	No
RNA5SP188	1.117e-18	5q21.1	HOMDEL	13	616	2.1%	No
UBBP4		17p11.2	AMP	6	616	1.0%	No
BCL2L10		15q21.2	HOMDEL	4	616	0.6%	No
TRPM1	2.325e-6	15q13.3	HOMDEL	7	616	1.1%	No
SPRYD7		13q14.2	AMP	18	616	2.9%	No
CEMIP		15q25.1	AMP	1	616	0.2%	No
ACADVL		17p13.1	HOMDEL	10	616	1.6%	No
BTN2A3P		6p22.2	AMP	2	616	0.3%	No
MLLT1		19p13.3	HOMDEL	3	616	0.5%	Yes
USP16		21q21	HOMDEL	1	616	0.2%	No
SH3GL1		19p13.3	HOMDEL	3	616	0.5%	Yes
ZNF232		17p13.2	HOMDEL	6	616	1.0%	No
FAM86B3P		8p23.1	HOMDEL	42	616	6.8%	No
LINC00488		3q13.13	HOMDEL	1	616	0.2%	No
PEX10		1p36.32	AMP	1	616	0.2%	No
LANCL2		7p11.2	AMP	4	616	0.6%	No
RN7SL864P		20p12.1	AMP	5	616	0.8%	No
SDHC	1.892e-2	1q23.3	AMP	4	616	0.6%	Yes
ADGRL2		1p31.1	HOMDEL	1	616	0.2%	No
PSG10P		19q13.2	AMP	2	616	0.3%	No
LINC00690		3p24.3	AMP	1	616	0.2%	No
POTEB		15q11.2	AMP	2	616	0.3%	No
TMEM43		3p25.1	HOMDEL	2	616	0.3%	No
NOCT		4q31.1	HOMDEL	1	616	0.2%	No
GAK	9.545e-2	4p16.3	HOMDEL	1	616	0.2%	No
PEX12		17q12	AMP	2	616	0.3%	No
RBM12		20q11.22	HOMDEL	1	616	0.2%	No
CDH1		16q22.1	HOMDEL	1	616	0.2%	Yes
SAMHD1		20q11.23	HOMDEL	1	616	0.2%	Yes
UGT2B11		4q13.2	HOMDEL	1	616	0.2%	No
OR52L1		11p15.4	AMP	1	616	0.2%	No
C2CD4D	1.892e-2	1q21.3	AMP	4	616	0.6%	No
ZNF815P	2.467e-1	7p22.1	AMP	1	616	0.2%	No
NLRP3	1.892e-2	1q44	AMP	4	616	0.6%	No
SDHD		11q23.1	AMP	1	616	0.2%	Yes
TMEM240		1p36.33	HOMDEL	5	616	0.8%	No
TMEM217		6p21.2	HOMDEL	1	616	0.2%	No
SLC6A20		3p21.31	AMP	1	616	0.2%	No
VANGL2	1.892e-2	1q23.2	AMP	3	616	0.5%	No
MANBAL		20q11.23	HOMDEL	1	616	0.2%	No
NPIPB11		16p11.2	HOMDEL	1	616	0.2%	No
KCNG2		18q23	HOMDEL	15	616	2.4%	No
GUCY2EP		11q13.5	AMP	1	616	0.2%	No
PGBD3		10q11	HOMDEL	2	616	0.3%	No
SLC20A2		8p11.21	HOMDEL	2	616	0.3%	No
SPSB1		1p36.22	HOMDEL	4	616	0.6%	No
BCR		22q11.23	HOMDEL	2	616	0.3%	Yes
CUBN		10p13	HOMDEL	1	616	0.2%	No
RBFOX1		16p13.3	AMP	4	616	0.6%	No
RN7SKP2		13q14.11	HOMDEL	1	616	0.2%	No
ZNF891		12q24.33	AMP	1	616	0.2%	No
MBD1		18q21.1	HOMDEL	12	616	1.9%	No
LTK	3.147e-8	15q15.1	HOMDEL	9	616	1.5%	Yes
NOP2		12p13.31	AMP	5	616	0.8%	No
EXOSC2		9q34.12	AMP	1	616	0.2%	No
ZNF800		7q31.33	HOMDEL	1	616	0.2%	No
RNA5SP455		18q12.3	HOMDEL	9	616	1.5%	No
RGS22		8q22.2	AMP	28	616	4.5%	No
RNA5S7		1q42.13	HOMDEL	1	616	0.2%	No
RN7SL105P		17p13.3	HOMDEL	5	616	0.8%	No
MZF1		19q13.43	AMP	1	616	0.2%	No
PF4		4q13.3	AMP	3	616	0.5%	No
PIEZO2		18p11.22-p11.21	HOMDEL	2	616	0.3%	No
SPINK14		5q32	HOMDEL	2	616	0.3%	No
NODAL		10q22.1	AMP	1	616	0.2%	No
HCG14		6p22.1	AMP	1	616	0.2%	No
C8G		9q34.3	HOMDEL	1	616	0.2%	No
SPATA31A7		9q12	AMP	5	616	0.8%	No
MUC16		19p13.2	HOMDEL	3	616	0.5%	No
KRT24		17q21.2	AMP	8	616	1.3%	No
LMOD1	1.892e-2	1q32.1	AMP	4	616	0.6%	No
SLC45A4		8q24.3	AMP	28	616	4.5%	No
OR51F1		11p15.4	AMP	1	616	0.2%	No
GRAMD1B		11q24.1	AMP	1	616	0.2%	No
LYPD5		19q13.31	AMP	2	616	0.3%	No
SPOCK1		5q31.2	HOMDEL	1	616	0.2%	No
GAB3		Xq28	AMP	4	616	0.6%	No
GK		Xp21.2	HOMDEL	4	616	0.6%	No
PF4V1		4q13.3	AMP	1	616	0.2%	No
ZNF41		Xp11.3	AMP	1	616	0.2%	No
ARCN1		11q23.3	AMP	2	616	0.3%	No
RNA5SP444		17q24.2	HOMDEL	1	616	0.2%	No
NNMT		11q23.2	AMP	1	616	0.2%	No
RRN3P2		16p11.2	HOMDEL	1	616	0.2%	No
MYO16		13q33.3	HOMDEL	1	616	0.2%	No
PTBP3		9q32	AMP	1	616	0.2%	No
MTG2		20q13.33	AMP	46	616	7.5%	No
BCL9L		11q23.3	AMP	2	616	0.3%	Yes
PTCHD4		6p12.3	AMP	1	616	0.2%	No
SEC13		3p25.3	AMP	1	616	0.2%	No
RPL7A		9q34.2	AMP	2	616	0.3%	No
MED28		4p15.32	HOMDEL	1	616	0.2%	No
AGO3		1p34.3	AMP	1	616	0.2%	No
ADGRG6		6q24.2	AMP	3	616	0.5%	No
USP31		16p12.2	AMP	2	616	0.3%	No
SHROOM4		Xp11.22	AMP	2	616	0.3%	No
OR10A4		11p15.4	HOMDEL	1	616	0.2%	No
NMT1		17q21.31	AMP	2	616	0.3%	No
CTTNBP2NL		1p13.2	AMP	1	616	0.2%	No
SEC14L1		17q25.2-q25.3	AMP	2	616	0.3%	No
VCP		9p13.3	HOMDEL	1	616	0.2%	No
SLC39A6		18q12.2	AMP	1	616	0.2%	No
ZNF575		19q13.31	AMP	2	616	0.3%	No
CFP		Xp11.23	AMP	1	616	0.2%	No
OC90		8q24.22	HOMDEL	1	616	0.2%	No
RGMB		5q15	HOMDEL	7	616	1.1%	No
AREG		4q13.3	AMP	1	616	0.2%	No
IFNA7	1.016e-1	9p21.3	HOMDEL	1	616	0.2%	No
NQO2		6p25.2	AMP	2	616	0.3%	No
C15ORF32	9.521e-2	15q26.1	AMP	3	616	0.5%	No
EMC4	2.325e-6	15q14	HOMDEL	7	616	1.1%	No
GPCPD1		20p12.3	AMP	4	616	0.6%	No
BCLAF3		Xp22.12	AMP	4	616	0.6%	No
TMOD4	1.892e-2	1q21.3	AMP	4	616	0.6%	No
C10ORF71		10q11.23	HOMDEL	2	616	0.3%	No
IL4	2.199e-5	5q31.1	HOMDEL	3	616	0.5%	No
TMEM179		14q32.33	AMP	1	616	0.2%	No
C1ORF56	1.892e-2	1q21.3	AMP	4	616	0.6%	No
ALG8		11q14.1	AMP	2	616	0.3%	No
ADH1B		4q23	HOMDEL	1	616	0.2%	No
SSBP2		5q14.1	HOMDEL	1	616	0.2%	No
CDHR1		10q23.1	HOMDEL	1	616	0.2%	No
EIF2AK1	2.467e-1	7p22.1	AMP	1	616	0.2%	No
WIPI1	8.488e-3	17q24.2	AMP	6	616	1.0%	No
RAB3IL1		11q12.2-q12.3	HOMDEL	2	616	0.3%	No
ARF1	1.892e-2	1q42.13	AMP	4	616	0.6%	No
CDX4		Xq13.2	HOMDEL	2	616	0.3%	No
SERP2		13q14.11	AMP	23	616	3.7%	Yes
GGNBP1		6p21.31	AMP	2	616	0.3%	No
CABP2		11q13.2	HOMDEL	1	616	0.2%	No
ZC2HC1A		8q21.13	AMP	24	616	3.9%	No
H4C3		6p22.2	HOMDEL	3	616	0.5%	No
RN7SL558P		4p14	HOMDEL	1	616	0.2%	No
UCKL1		20q13.33	AMP	47	616	7.6%	No
CACYBP	1.892e-2	1q25.1	AMP	5	616	0.8%	No
SUSD4	1.892e-2	1q41	AMP	4	616	0.6%	No
MARCKSL1		1p35.1	HOMDEL	2	616	0.3%	No
PPM1H		12q14.1-q14.2	AMP	1	616	0.2%	No
PPEF2		4q21.1	HOMDEL	2	616	0.3%	No
IFNA8	1.016e-1	9p21.3	HOMDEL	3	616	0.5%	No
ZNF644		1p22.2	HOMDEL	2	616	0.3%	No
ABHD17B		9q21.13	AMP	2	616	0.3%	No
PLN		6q22.31	HOMDEL	3	616	0.5%	No
